,BandName,Genre
0,BTS,k-pop
1,BTS,k-pop boy group
2,One Direction,boy band
3,One Direction,pop
4,One Direction,post-teen pop
5,One Direction,talent show
6,NCT 127,k-pop
7,NCT 127,k-pop boy group
8,EXO,k-pop
9,EXO,k-pop boy group
10,SEVENTEEN,k-pop
11,SEVENTEEN,k-pop boy group
12,Stray Kids,k-pop
13,Stray Kids,k-pop boy group
14,My Chemical Romance,emo
15,My Chemical Romance,pop punk
16,My Chemical Romance,rock
17,GOT7,k-pop
18,GOT7,k-pop boy group
19,Monsta X,k-pop
20,Monsta X,k-pop boy group
21,ATEEZ,k-pop
22,ATEEZ,k-pop boy group
